CARB LRD	Citerne à hydrocarbures lourds	2022-06-16T14:23:21.076564	type_carosserie	true
CARB LEG	Citerne à hydrocarbures légers	2022-06-16T14:23:21.026604	type_carosserie	true
CIT GAZ	Citerne à gaz liquéfiés	2022-06-16T14:23:20.974562	type_carosserie	true
CIT CHIM	Citerne à produits chimiques	2022-06-16T14:23:20.915564	type_carosserie	true
CIT BETA	Citerne pour aliments du bétail	2022-06-16T14:23:20.873611	type_carosserie	true
CIT ALTD	Citerne à produit alimentaire à température dirigée	2022-06-16T14:23:20.829609	type_carosserie	true
CIT ALIM	Citerne à produits alimentaires	2022-06-16T14:23:20.778571	type_carosserie	true
CASIERS	Casiers	2022-06-16T14:23:20.734599	type_carosserie	true
BETAIL	Bétaillère	2022-06-16T14:23:20.682568	type_carosserie	true
BEN CERE	Bennes céréalières	2022-06-16T14:23:20.638565	type_carosserie	true
BENNE	Bennes dont le déchargement est effectué mécaniquement par le fond à l'aide d'un convoyeur à raclettes, d'une vis sans fin, etc... ou Bennes basculantes de chantier et de travaux publics	2022-06-16T14:23:20.587567	type_carosserie	true
BEN AMO	Bennes amovibles	2022-06-16T14:23:20.544554	type_carosserie	true
PR SREM	Pour semi-remorques	2022-06-16T14:23:20.503467	type_carosserie	true
PR REM	Pour remorques	2022-06-16T14:23:20.442349	type_carosserie	true
FOREST	Forestier	2022-06-16T14:23:20.396304	type_carosserie	true
CAR	Autocar	2022-06-16T14:23:20.337499	type_carosserie	true
BUS	Autobus	2022-06-16T14:23:20.29727	type_carosserie	true
NON SPEC	Divers (non spécifiée)	2022-06-16T14:23:20.250269	type_carosserie	true
HANDICAP	Handicapés	2022-06-16T14:23:20.210268	type_carosserie	true
CIALE	Commerciale	2022-06-16T14:23:20.165501	type_carosserie	true
BREAK	Break	2022-06-16T14:23:20.104904	type_carosserie	true
CABR	Cabriolet	2022-06-16T14:23:20.050903	type_carosserie	true
CI	Conduite intérieure	2022-06-16T14:23:20.003904	type_carosserie	true
CLTRM	Cyclomoteurs non carrossés à trois roues affectés au transport de marchandises	2022-06-16T14:23:19.940904	type_carosserie	true
CYCLM	Cyclomoteurs carrossés à trois roues affectés au transport de marchandises	2022-06-16T14:23:19.901905	type_carosserie	true
CLTRP	Cyclomoteurs non carrossés à trois roues	2022-06-16T14:23:19.851904	type_carosserie	true
VTTE	Cyclomoteurs carrossés à trois roues (voiturettes)	2022-06-16T14:23:19.783956	type_carosserie	true
QLOMM	Quadricycles lourds à moteur affectés au transport de marchandises	2022-06-16T14:23:19.732906	type_carosserie	true
QLOMP	Quadricycles lourds à moteur affectés au transport de personnes	2022-06-16T14:23:19.690904	type_carosserie	true
QLEM	Quadricycles légers à moteur	2022-06-16T14:23:19.625178	type_carosserie	true
TMM2	Autres tricycles affectés au transport de marchandises	2022-06-16T14:23:19.584182	type_carosserie	true
TMM1	Tricycles de poids à vide ≤ 550 kg et puissance maximale nette CE ≤ 15 kw affectés au transport de marchandises	2022-06-16T14:23:19.544179	type_carosserie	true
TMP2	Autres tricycles affectés au transport de personnes	2022-06-16T14:23:19.487781	type_carosserie	true
TMP1	Tricycles dont le poids à vide n'excède pas 550 kg et dont la puissance maximale nette CE n'excède pas 15 kW affectés au transport de personnes	2022-06-16T14:23:19.435821	type_carosserie	true
SIDE-CAR	Motocyclettes avec side-car intégré (véhicule à trois roues non symétriques)	2022-06-16T14:23:19.394784	type_carosserie	true
SOLO-SIDE-CAR	Motocyclettes avec side-car adjoint	2022-06-16T14:23:19.347817	type_carosserie	true
SOLO	Motocyclettes sans side-car (solo)	2022-06-16T14:23:19.293782	type_carosserie	true
20	Motorcycles	2022-06-16T14:16:01.129886	type_vehicule	true
6	Buses	2022-06-16T14:16:01.127746	type_vehicule	true
5	Medium Trucks	2022-06-16T14:16:01.124889	type_vehicule	true
4	Trailers	2022-06-16T14:16:01.121175	type_vehicule	true
3	Heavy-Duty Tractors	2022-06-16T14:16:01.117886	type_vehicule	true
2	light commercial	2022-06-16T14:16:01.115886	type_vehicule	true
1	voitures	2022-06-16T14:16:01.112886	type_vehicule	true
XXX	Autres	2022-06-16T14:16:00.860362	usage_vehicule	true
TRP	Transport	2022-06-16T14:16:00.854905	usage_vehicule	true
PRO	Professionnel	2022-06-16T14:16:00.850361	usage_vehicule	true
PRV	Priv�	2022-06-16T14:16:00.804362	usage_vehicule	true
HH	Hydrogène-Electricité (hybride non rechargeable)	2022-06-16T14:23:25.067561	energie_vehicule	true
HE	Hydrogène-Electricité (hybride rechargeable)	2022-06-16T14:23:25.02048	energie_vehicule	true
H2	Hydrogène	2022-06-16T14:23:24.973509	energie_vehicule	true
AC	Air comprimé	2022-06-16T14:23:24.903288	energie_vehicule	true
PL	Pétrole lampant	2022-06-16T14:23:24.831288	energie_vehicule	true
GE	Mélange gazogène-essence	2022-06-16T14:23:24.788286	energie_vehicule	true
GG	Mélange gazogène-gazole	2022-06-16T14:23:24.725288	energie_vehicule	true
GZ	Autres hydrocarbures gazeux comprimés	2022-06-16T14:23:24.670288	energie_vehicule	true
GA	Gazogène	2022-06-16T14:23:24.613288	energie_vehicule	true
ET	Ethanol	2022-06-16T14:23:24.567288	energie_vehicule	true
EL	Electricité	2022-06-16T14:23:24.519191	energie_vehicule	true
NH	Gaz naturel-électricité (hybride non rechargeable)	2022-06-16T14:23:24.46319	energie_vehicule	true
NE	Gaz naturel-électricité (hybride rechargeable)	2022-06-16T14:23:24.407108	energie_vehicule	true
GN	Gaz naturel	2022-06-16T14:23:24.338521	energie_vehicule	true
